Ticker,Company,Sentiment Score,Articles Analyzed
TCS.NS,TCS,-0.105,19
INFY.NS,INFY,0.2,10
HDFCBANK.NS,HDFC BANK,-0.1,20
RELIANCE.NS,RELIANCE,-0.1,20
ICICIBANK.NS,ICICI BANK,0.05,20
SBIN.NS,SBIN,0.0,20
KOTAKBANK.NS,KOTAK BANK,0.0,20
AXISBANK.NS,AXIS BANK,0.0,20
TECHM.NS, TECHM,0.429,7
WIPRO.NS,WIPRO,0.2,20
ITC.NS,ITC,-0.2,20
LT.NS,LT,0.0,20
HCLTECH.NS,HCL TECH,0.0,18
MARUTI.NS,MARUTI,-0.05,20
ULTRACEMCO.NS,ULTRACEMCO,-1.0,1
ASIANPAINT.NS,ASIANPAINT,-1.0,1
BHARTIARTL.NS,BHARTIARTL,0.0,1
JSWSTEEL.NS,JSWSTEEL,0.667,3
POWERGRID.NS,POWERGRID,-0.05,20
NTPC.NS,NTPC,0.15,20
BPCL.NS,BPCL,0.4,20
ONGC.NS,ONGC,0.05,20
DRREDDY.NS,DRREDDY,-0.2,5
DIVISLAB.NS,DIVISLAB,0.5,2
SUNPHARMA.NS,SUNPHARMA,0.0,2
BRITANNIA.NS,BRITANNIA,0.0,18
HEROMOTOCO.NS,HEROMOTOCO,0.0,1
GRASIM.NS,GRASIM,0.25,20
TITAN.NS,TITAN,-0.05,20
BAJAJ-AUTO.NS,BAJAJ-AUTO,0.05,20
CIPLA.NS,CIPLA,0.1,20
UPL.NS,UPL,0.105,19
INDUSINDBK.NS,INDUSINDBK,-0.333,3
M&M.NS,M&M,-0.1,20
TATAMOTORS.NS,TATAMOTORS,0.0,1
SHREECEM.NS,SHREECEM,0.0,1
DABUR.NS,DABUR,0.1,20
PIDILITIND.NS,PIDILITIND,-1.0,1
GAIL.NS,GAIL,0.0,19
ABB.NS,ABB,0.1,20
LUPIN.NS,LUPIN,0.0,20
ICICIPRULI.NS,ICICIPRULI,0.0,1
AUROPHARMA.NS,AUROPHARMA,0.5,2
MPHASIS.NS,MPHASIS,0.05,20
NAUKRI.NS,NAUKRI,-0.05,20
PEL.NS,PEL,0.3,20
MUTHOOTFIN.NS,MUTHOOTFIN,0.0,1
HAVELLS.NS,HAVELLS,0.462,13
GLAND.NS,GLAND,-0.053,19
DMART.NS,DMART,-0.2,5
BIOCON.NS,BIOCON,0.05,20
TORNTPHARM.NS,TORNTPHARM,0.0,2
BOSCHLTD.NS,BOSCHLTD,0.5,2
SRF.NS,SRF,-0.1,20
CANBK.NS,CANBK,-1.0,1
TRENT.NS,TRENT,0.1,20
INDIGO.NS,INDIGO,-0.1,20
PAGEIND.NS,PAGEIND,0.0,2
SAIL.NS,SAIL,0.0,20
IEX.NS,IEX,0.05,20
CROMPTON.NS,CROMPTON,-0.1,20
YESBANK.NS,YES BANK,0.05,20
ZEEL.NS,ZEEL,0.125,8
ASHOKLEY.NS,ASHOKLEY,0.667,3
BHEL.NS,BHEL,0.1,20
PVRINOX.NS,PVRINOX,-0.111,18
RECLTD.NS,RECLTD,-1.0,1
MFSL.NS,MFSL,0.0,3
BEL.NS,BEL,-0.05,20
BALRAMCHIN.NS,BALRAMCHIN,0.0,1
IDBI.NS,IDBI,0.0,20
PNB.NS,PNB,0.15,20
IRCTC.NS,IRCTC,0.05,20
TATAPOWER.NS,TATAPOWER,0.0,1
IRFC.NS,IRFC,0.3,20
NHPC.NS,NHPC,0.35,20
IOC.NS,IOC,-0.056,18
LICI.NS,LICI,0.5,4
INDHOTEL.NS,INDHOTEL,1.0,1
